intitule_poste,ville,date_publication,mois,contrat,entreprise,source,secteur,competences,experience,exp_min,exp_max
Agents distributeur,zone rurale,2026-04-10,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, finance, santé",Non spécifié,,
Stagiaire Rayonniste,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,vente,Non spécifié,,
Caissière,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Stagiaire IT,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Managing Director Everllence Senegal,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Commissioning Engineer,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
HR Admin (H/F),Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,rh,Non spécifié,,
Conseillers commerciaux confirmés et polyvalents,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, finance",Non spécifié,,
Conseillers en Assurance Santé,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, finance, santé",Non spécifié,,
People Operations Specialist (Chargé RH),Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, rh, santé",Non spécifié,,
Coordinateurs de Projet,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"data analyse, rh, santé, gestion de projet",2,2.0,2.0
Spécialiste de l’Aviation Civile,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Conseillers Client Service Client – Français & Anglais,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Conseillers Client Télévente,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, santé",Non spécifié,,
Chargé(e) du budget et de la planification des ressources,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,gestion de projet,Non spécifié,,
Chauffeur VTC,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, logistique",3,3.0,3.0
Stagiaire comptable,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Responsable des ventes,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, finance",Non spécifié,,
Comptable Confirmé,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,4,4.0,4.0
Chauffeurs de pick-up,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,4,4.0,4.0
Ferronnier/ Métallier Confirmé,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,5,5.0,5.0
Agent technique Expert en Montage de Chapiteaux,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
APPEL D'OFFRE / Fourniture de kits d'hygiène menstruelle,Ziguinchor,2026-03-30,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"gestion de projet, programmation",Non spécifié,,
Développeur Fullstack Java/Vue js,Dakar,2026-04-01,2026-04-01,CDI,Non spécifié,senjob.com,Non spécifié,"vente, communication, programmation",Non spécifié,,
Commercial terrain,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, finance",Non spécifié,,
Closer / Setter (Commercial sur les Réseaux Sociaux),Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, communication",Non spécifié,,
Tailleur ou Couturière,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Vidéaste,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, marketing",Non spécifié,,
Créateur de contenu / Vlog / Journalisme,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"gestion de projet, marketing",Non spécifié,,
Stagiaire Analyste Carbone,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Responsable National Multimédia et Contenus Numériques,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,communication,Non spécifié,,
Stagiaire Archiviste Financier,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Chargé d’Approvisionnement,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,logistique,Non spécifié,,
Country Growth Operations Lead,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Ingénieur Traitement de l’Eau – Optimisation Énergétique,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,data analyse,Non spécifié,,
Coordinateur Hub Innovation – Afrique de l’Ouest,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Assistant RH,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Stage En ligne sur la fonction Évaluation,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,communication,Non spécifié,,
Assistant(e) Administratif(ve) et Comptable Bilingue,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, communication",Non spécifié,,
Consultant (e) en analyse des politiques éducatives,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, gestion de projet",Non spécifié,,
Superviseur des cultures et des contrats d’achat (H/F),Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, finance, gestion de projet",Non spécifié,,
Regional Program Manager,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Manager Ressources Humaines – SAO (H/F),Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Crédit Manager,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, communication, santé",Non spécifié,,
Superviseur de Caisse,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, finance",Non spécifié,,
Chef de Garage,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,7,7.0,7.0
Docteur en pharmacie,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Chef de secteur junior,Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, marketing, finance",2,2.0,2.0
Responsable de Compétences (RC),Dakar,2026-04-08,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, communication, rh, gestion de projet",Non spécifié,,
Chargé de communication,Mbour,2026-04-08,2026-04-01,CDD,Non spécifié,senjob.com,Non spécifié,"communication, finance, marketing, gestion de projet",Non spécifié,,
Consultant Support FAI avec expertise N1,Dakar,2026-03-31,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,communication,Non spécifié,,
Stage en comptabilité,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Commerciale Terrain,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, communication, finance",Non spécifié,,
Stagiaire Déclarant en Douane,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Auditeur Confirmé,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,2-4,2.0,4.0
Deux (02) Auditeurs Seniors,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,3-5,3.0,5.0
Consultant·e pour la conception du Tostan Junior Program,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Enquêteurs,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, data analyse",Non spécifié,,
Ingénieurs Statisticiens,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"visualisation de données, finance, data analyse",Non spécifié,,
Chauffeur Bilingue,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,1-2,1.0,2.0
Business Developer – Merchant Payments,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, vente",Non spécifié,,
Coordinateur de Projet,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, gestion de projet",Non spécifié,,
Graphique Designer Senior,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, marketing, gestion de projet",Non spécifié,,
Responsable des Operations,Thiès,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, gestion de projet",Non spécifié,,
Spécialiste en Communication,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, gestion de projet",Non spécifié,,
Chief Of Staff,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,communication,Non spécifié,,
Traducteurs professionnels,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Responsable Commercial.e & Partenariats (Part-time) – UBB,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"programmation, vente",Non spécifié,,
Nounou et Chef Cuisinière Expérimentées,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
10 Business Developers,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, vente",Non spécifié,,
Chauffeurs Taxi Particuliers,Dakar,2026-04-07,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, logistique",Non spécifié,,
Caissier h/f,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, finance",Non spécifié,,
Chef patissier h/f,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Télétravail - placement auprès d'entreprises internationales,Dakar,2026-03-30,2026-03-01,CDD,Non spécifié,senjob.com,Non spécifié,"vente, marketing, finance, gestion de projet",Non spécifié,,
Consultant Support FAI,Dakar,2026-03-26,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,communication,Non spécifié,,
Femme de Ménage Qualifiée,Dakar,2026-04-06,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Gérante Cuisinière,Thiès,2026-04-06,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
"Expert BTP, Spécialisé en Génie Maritime/Côtier",Dakar,2026-04-06,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Expert en Modélisation Numérique Appliquée au Milieu Marin Côtier,Dakar,2026-04-06,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,gestion de projet,8,8.0,8.0
Business Developer freelance — Apporteur d’affaires,Dakar,2026-04-06,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, gestion de projet, programmation",Non spécifié,,
Gestionnaire Site Web & Réseaux Sociaux,Dakar,2026-04-06,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, marketing",Non spécifié,,
Stagiaire Commerciale,Dakar,2026-04-06,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, vente",Non spécifié,,
Conseillers Commerciaux (Free Télécom),Dakar,2026-04-06,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, finance",Non spécifié,,
Chargé de domaine de formation « Secteurs bancaire et financier »,Dakar,2026-04-06,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Opérateur de maintenance du patrimoine,Dakar,2026-04-06,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,communication,2,2.0,2.0
Chargé de la réglementation des systèmes et moyens de paiement,Dakar,2026-04-06,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, finance, gestion de projet",2,2.0,2.0
Gestionnaire des incidents et des demandes d’assistance,Dakar,2026-04-06,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, finance",2,2.0,2.0
Gestionnaire d’opérations financières,Dakar,2026-04-06,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Chargé d’études en organisation,Dakar,2026-04-06,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"gestion de projet, finance",Non spécifié,,
Chargé des projets de communication,Dakar,2026-04-06,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, finance, marketing, gestion de projet",Non spécifié,,
"Senior Malaria Advisor, DOS LEAP Global – Senegal",Dakar,2026-04-04,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Business Development Director – Senegal,Dakar,2026-04-04,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,vente,Non spécifié,,
Directeur Clinique,Dakar,2026-04-04,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"gestion de projet, santé",Non spécifié,,
Responsable Spa,Dakar,2026-04-04,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, vente",Non spécifié,,
GEF Projects Sub-Regional Coordinator,Dakar,2026-04-04,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,communication,Non spécifié,,
Ingénieur Projet,Dakar,2026-04-04,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"logistique, gestion de projet",Non spécifié,,
Professeur du Second Degré – Arts Plastiques-Français,Dakar,2026-04-04,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Coordinateur Pédagogique,Dakar,2026-04-04,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, gestion de projet",Non spécifié,,
Comptable,Dakar,2026-04-04,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,2-3,2.0,3.0
Stage subventionné pour jeunes diplômés au sein de la Délégation de l’UE au Sénégal,Dakar,2026-04-04,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, marketing",Non spécifié,,
Chargé(e) de la Relation Client,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"marketing, vente, communication, finance",Non spécifié,,
Chargé(e) de Financement,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, gestion de projet",Non spécifié,,
Technicien Bâtiment H/F,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,gestion de projet,3,3.0,3.0
Ingénieur Bâtiment,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, gestion de projet",5,5.0,5.0
Responsable Conformité,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Adjoint/ Adjointe à la sécurité,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Pricing and Quoting Intern Apprentice West Africa,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, logistique",Non spécifié,,
Manufacturing Team Leader,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
"Stagiaire Suivi, Évaluation et Apprentissage",Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"visualisation de données, data analyse",Non spécifié,,
Responsable des Finances et de l’Administration,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, logistique",Non spécifié,,
Développeur Sénior,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"programmation, gestion de projet",Non spécifié,,
Chef(fe) des Services Administratifs (CSA),Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,7,7.0,7.0
Restaurant Manager,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,vente,Non spécifié,,
Téléconseiller en prise de RDV B2B,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,3-5,3.0,5.0
Techniciennes de Surface,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Community Manager,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"marketing, communication, logistique",Non spécifié,,
Formation Tech Academy et Recrutement JOJ2026,Dakar,2026-04-03,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Economic Specialist,Dakar,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Chauffeur,Dakar,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Agent de Sécurité,Dakar,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Acheteur,Dakar,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,logistique,Non spécifié,,
Chargé de Pilotage & Performance,Dakar,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, data analyse, gestion de projet",Non spécifié,,
Responsable de Zone,Dakar,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, marketing",5-8,5.0,8.0
Directeur (trice) artistique,Dakar,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, gestion de projet",Non spécifié,,
Chef de publicité,Dakar,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"marketing, communication, gestion de projet",Non spécifié,,
Content Manager,Dakar,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,marketing,Non spécifié,,
Pompiste,Dakar,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Technicien de baie,Thiès,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Rayonniste,Dakar,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Caissier,Dakar,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, finance",Non spécifié,,
Laveur,Thiès,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Gérant de boutique,Dakar,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, finance",Non spécifié,,
Gérant de station,Thiès,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Commis Administratif,Dakar,2026-04-02,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Public Engagement Assistant,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"marketing, communication",Non spécifié,,
Télévendeurs en conquête mobile/marché français,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, communication, finance, gestion de projet",Non spécifié,,
Responsable Pédagogique,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,gestion de projet,Non spécifié,,
Technicien Electromécanicien,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Commercial B2B,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, marketing, communication",3,3.0,3.0
Cuisinière professionnelle,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Assistant.e au primaire bilingue,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Agent Enquêteur,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, data analyse",Non spécifié,,
Commerciaux,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Business Analyst,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Enseignant Bilingue,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Chargé(e) de Trade Marketing,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"marketing, vente, communication, programmation, data analyse, logistique",Non spécifié,,
Contrôleur de Gestion,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Chef de la sécurité,Thiès,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,rh,Non spécifié,,
Emerging Leaders Trainee Programme,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
"Assistant(e) administratif(ve), achats et comptabilité",Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"gestion de projet, rh, finance",Non spécifié,,
Assistant(e) de Direction,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"logistique, communication",Non spécifié,,
Chargé de Suivi-Évaluation,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"gestion de projet, santé",Non spécifié,,
Chauffeur Livreur Tricycle (Moto 3 roues),Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, logistique",Non spécifié,,
Stagiaire en Droit,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,communication,Non spécifié,,
Coordinateur.rice régional.e pédagogique Afrique,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, gestion de projet",Non spécifié,,
Responsable Fiscalité et Conformité,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Chauffeur Paferceau/O Wood,Dakar,2026-04-01,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"logistique, gestion de projet",Non spécifié,,
Agent de Support Client H/F,Dakar,2026-03-31,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
consultant Expert Socio ou Agroéconomiste,Dakar,2026-03-31,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, data analyse, gestion de projet",5,5.0,5.0
Responsable Atelier Mécanique et Coordination,Dakar,2026-03-31,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,gestion de projet,Non spécifié,,
Commercial Sédentaire / Téléprospecteur (H/F),Dakar,2026-03-31,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, programmation",Non spécifié,,
Responsable de Production Extursion,Dakar,2026-03-31,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,5-7,5.0,7.0
Project Manager,Dakar,2026-03-31,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,gestion de projet,Non spécifié,,
Aide Gouvernante,Dakar,2026-03-31,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Maitre d’Hotel,Dakar,2026-03-31,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,3,3.0,3.0
Agents de nettoyage,Dakar,2026-03-31,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Assistant Caissier et commercial,Dakar,2026-03-31,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,vente,Non spécifié,,
Assistante Commerciale résidante à Tambacounda,Tambacounda,2026-03-31,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, finance",Non spécifié,,
Global Assurance Manager,Dakar,2026-03-30,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,communication,Non spécifié,,
Superviseur Génie Civil,Dakar,2026-03-30,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, gestion de projet",Non spécifié,,
Assistant de passation de marchés,Dakar,2026-03-30,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"gestion de projet, finance",Non spécifié,,
Référent.e Maladies Non Transmissibles,Dakar,2026-03-30,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"programmation, rh, santé, gestion de projet",Non spécifié,,
Assistant(e) Administratif(ve) et Qualité,Dakar,2026-03-30,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Agent Assurance Qualité / Contrôle Qualité,Dakar,2026-03-30,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, gestion de projet",Non spécifié,,
Expert-Comptable,Dakar,2026-03-30,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, gestion de projet",Non spécifié,,
Regional Infrastructure Advisor,Dakar,2026-03-30,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Internal Auditor,Dakar,2026-03-30,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Cash-Based Interventions Officer,Dakar,2026-03-30,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Livreur,Dakar,2026-03-30,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Conducteur Travaux CVCD & Plomberie,Dakar,2026-03-30,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,7,7.0,7.0
Bilingual HR Operations,Dakar,2026-03-30,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, gestion de projet",Non spécifié,,
Ingénieur Génie Civil Bilingue,Saint-Louis,2026-03-30,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, gestion de projet",Non spécifié,,
Ferrailleurs,Dakar,2026-03-30,2026-03-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, gestion de projet",Non spécifié,,
