intitule_poste,ville,date_publication,mois,contrat,entreprise,source,secteur,competences,experience,exp_min,exp_max
Assistant to regional director,Dakar,2026-01-09,2026-01-01,CDD,Iucn (Union Mondiale Pour La Conservation De La Nature),goafricaonline.com,ONG & Humanitaire,logistique,Non spécifié,,
Consultant.e étude de ligne de base (baseline),Dakar,2026-01-09,2026-01-01,CDD,ISCOS/UNCO,goafricaonline.com,ONG & Humanitaire,gestion de projet,Non spécifié,,
Executive Assistant,Dakar,2026-01-09,2026-01-01,CDD,LE LIONCEAU,goafricaonline.com,Santé & Bien-être,,Non spécifié,,
Assistant(e) CPM Sénior,Dakar,2026-01-09,2026-01-01,CDD,Cosec (Conseil Senegalais Des Chargeurs),goafricaonline.com,Transport & Logistique,non spécifié,Non spécifié,,
Responsable atelier mécanique et coordination,Dakar,2026-01-09,2026-01-01,CDI,TOPWORK SENEGAL,goafricaonline.com,RH & Recrutement,vente,5-10,5.0,10.0
Chargé(e) de communication,Dakar,2026-01-09,2026-01-01,CDI,FONSIS,goafricaonline.com,"Finance, Banque & Comptabilité",non spécifié,Non spécifié,,
Comptable,Dakar,2026-01-09,2026-01-01,CDI,FONSIS,goafricaonline.com,"Finance, Banque & Comptabilité",non spécifié,Non spécifié,,
Responsable qualité en intérim,Dakar,2026-01-09,2026-01-01,Non spécifié,NEUROTECH,goafricaonline.com,Marketing & Communication,,Non spécifié,,
Assistant(e) administratif(ve) adjoint(e),Dakar,2026-01-09,2026-01-01,CDD,CONFEMEN,goafricaonline.com,ONG & Humanitaire,,Non spécifié,,
Assistante de direction (support codir),Dakar,2026-01-09,2026-01-01,CDI,FONSIS,goafricaonline.com,"Finance, Banque & Comptabilité",non spécifié,Non spécifié,,
"Administrateur systèmes, réseaux & sécurité",Dakar,2026-01-09,2026-01-01,CDI,FONSIS,goafricaonline.com,"Finance, Banque & Comptabilité",non spécifié,Non spécifié,,
Chef comptable,Dakar,2026-01-09,2026-01-01,CDI,FONSIS,goafricaonline.com,"Finance, Banque & Comptabilité",non spécifié,Non spécifié,,
Auditeur interne confirmé,Dakar,2026-01-09,2026-01-01,CDI,FONSIS,goafricaonline.com,"Finance, Banque & Comptabilité",non spécifié,Non spécifié,,
Volontaires Jeux Olympiques de la Jeunesse Dakar 2026,Dakar,2026-01-09,2026-01-01,CDD,COJOJ DAKAR 2026,goafricaonline.com,Sport & Loisirs,non spécifié,Non spécifié,,
Chargé QHSE,Dakar,2026-01-09,2026-01-01,CDD,GPF SARL,goafricaonline.com,"Finance, Banque & Comptabilité","rh, finance",Non spécifié,,
Sexual Reproductive Health Implementation Support to West Africa operations,Dakar,2026-01-09,2026-01-01,CDD,MSF SARL SENEGAL,goafricaonline.com,Santé & Bien-être,"rh, gestion de projet, santé",Non spécifié,,
Chargé des partenariats,Dakar,2026-01-08,2026-01-01,CDD,Centif (Cellule Nationale De Traitement Des Informations Financieres),goafricaonline.com,Administration & Services publics,"communication, finance, logistique, gestion de projet",Non spécifié,,
Chargé du suivi évaluation et des évaluations mutuelles,Dakar,2026-01-08,2026-01-01,CDD,Centif (Cellule Nationale De Traitement Des Informations Financieres),goafricaonline.com,Administration & Services publics,"finance, data analyse, gestion de projet",Non spécifié,,
Head of IT Operations,Dakar,2026-01-08,2026-01-01,CDD,PLAN INTERNATIONAL SENEGAL,goafricaonline.com,ONG & Humanitaire,,Non spécifié,,
Conseiller commercial,Dakar,2026-01-08,2026-01-01,CDD,GPF SARL,goafricaonline.com,"Finance, Banque & Comptabilité","vente, finance, communication",Non spécifié,,
Digital marketer specialist,Dakar,2026-01-08,2026-01-01,CDD,CARLCARE SERVICE,goafricaonline.com,Transport & Logistique,"marketing, gestion de projet",Non spécifié,,
Stagiaire finance - administration,Dakar,2026-01-08,2026-01-01,Stage,MIYA,goafricaonline.com,Agriculture & Agroalimentaire,finance,Non spécifié,,
Agent service client / vente,Dakar,2026-01-08,2026-01-01,Stage,AKILA INTELLIGENCE,goafricaonline.com,Technologie & Informatique,"vente, communication",Non spécifié,,
Ingénieur informaticien-développeur,Dakar,2026-01-08,2026-01-01,CDD,Formarecrut SARL,goafricaonline.com,RH & Recrutement,"programmation, data analyse",Non spécifié,,
Acheteur – voitures d’occasion particulier,Dakar,2026-01-08,2026-01-01,CDI,AUTO24.sn,goafricaonline.com,Transport & Logistique,"vente, communication, finance",Non spécifié,,
Stagiaire chargé(e) du digital,Dakar,2026-01-08,2026-01-01,Stage,DIAAR YEEMOU INVEST,goafricaonline.com,BTP & Industrie,marketing,Non spécifié,,
Senior campaigner,Dakar,2026-01-08,2026-01-01,CDD,AMNESTY INTERNATIONAL SENEGAL,goafricaonline.com,ONG & Humanitaire,,Non spécifié,,
Ingénieur informaticien-développeur,Dakar,2026-01-08,2026-01-01,CDD,Centif (Cellule Nationale De Traitement Des Informations Financieres),goafricaonline.com,Administration & Services publics,"programmation, data analyse",Non spécifié,,
"Assistant(e) du directeur de la stratégie, de la coopération et du partenariat",Dakar,2026-01-08,2026-01-01,CDI,Centif (Cellule Nationale De Traitement Des Informations Financieres),goafricaonline.com,Administration & Services publics,"communication, finance, logistique",Non spécifié,,
Téléconseillers en Prise de Rendez-vous,Non spécifié,2026-01-07,2026-01-01,CDD,Conseiller,goafricaonline.com,Non spécifié,communication,12,12.0,12.0
Technicien(ne) en Génie Électrique,Dakar,2026-01-07,2026-01-01,CDD,Direction de la Communication - UCAD,goafricaonline.com,Education & Formation,"marketing, programmation, vente, communication, finance, santé, gestion de projet",2,2.0,2.0
Responsable Communication Digitale,Dakar,2026-01-07,2026-01-01,CDD/CDI,SODILUXE,goafricaonline.com,Commerce & Vente,"marketing, vente, programmation, communication, data analyse, logistique, gestion de projet",2,2.0,2.0
Juriste expérimenté en droit des étrangers et de l’immigration,Dakar,2026-01-07,2026-01-01,CDD,CF CABINET D'AVOCATS,goafricaonline.com,"Finance, Banque & Comptabilité","finance, programmation",Non spécifié,,
Agents Call Center,Dakar,2026-01-07,2026-01-01,Stage,Icom B Call Center,goafricaonline.com,Technologie & Informatique,"communication, finance, logistique, gestion de projet",Non spécifié,,
Conseiller(ère) technique – Observatoire de la qualité de l’éducation,Dakar,2026-01-07,2026-01-01,CDD,CONFEMEN,goafricaonline.com,ONG & Humanitaire,finance,Non spécifié,,
Conseiller(ère) technique – Appui au changement et aux instances,Dakar,2026-01-07,2026-01-01,CDD,CONFEMEN,goafricaonline.com,ONG & Humanitaire,finance,Non spécifié,,
Responsable du Service Administratif et Financier (RSAF),Dakar,2026-01-07,2026-01-01,CDD,CONFEMEN,goafricaonline.com,ONG & Humanitaire,finance,Non spécifié,,
Coordonnateur / Coordonnatrice du Programme PACTE,Dakar,2026-01-07,2026-01-01,CDD,CONFEMEN,goafricaonline.com,ONG & Humanitaire,finance,Non spécifié,,
Directeur Général Adjoint (DGA),Dakar,2026-01-07,2026-01-01,CDD,PROFIL,goafricaonline.com,"Finance, Banque & Comptabilité","finance, vente, rh",Non spécifié,,
Chargé administration et statistique,Dakar,2026-01-07,2026-01-01,Non spécifié,Africa Global Logistics Sénégal,goafricaonline.com,Transport & Logistique,data analyse,Non spécifié,,
"Coordonnateur/rice engagement des jeunes, protection et de la sauvegard",Dakar,2026-01-07,2026-01-01,CDD,PLAN INTERNATIONAL SENEGAL,goafricaonline.com,ONG & Humanitaire,gestion de projet,Non spécifié,,
Gestionnaire de données GlobalFund,Dakar,2026-01-07,2026-01-01,CDD,PLAN INTERNATIONAL SENEGAL,goafricaonline.com,ONG & Humanitaire,"data analyse, gestion de projet",Non spécifié,,
Agents de sécurité,Dakar,2026-01-07,2026-01-01,CDD,INTERNATIONAL STAFFING COMPANY,goafricaonline.com,RH & Recrutement,rh,2,2.0,2.0
Comptable,Dakar,2026-01-07,2026-01-01,CDD,EDUCO,goafricaonline.com,ONG & Humanitaire,"finance, rh, logistique",Non spécifié,,
Partner Capacity & Compliance Coordinator,Dakar,2026-01-07,2026-01-01,CDD,DRC,goafricaonline.com,ONG & Humanitaire,"finance, gestion de projet",Non spécifié,,
Assistant administratif lutte contre la traite des êtres humains et le trafic de migrants,Dakar,,,CDD,United Nations Office For West Africa - Unowa,goafricaonline.com,ONG & Humanitaire,"logistique, communication, gestion de projet",Non spécifié,,
